Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa de Lugo  45-47 ,15810 ,Arzúa ,A Coruña ,Galicia ,881 99 60 03  881 99 60 04 ,881 99 60 07 ,mixto1.arzua@xustiza.gal ,RODRIGUEZ CARLIN  MARIA EUGENIA
Audiencia Provincial Civil nº 3 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 16 26  964 62 16 27 ,964 62 19 07 ,csap3_cas@gva.es ,BARDON MARTINEZ  ADELA
Audiencia Provincial Civil nº 4 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 46 40 40 ,964 46 40 41 ,csap04_cas@gva.es ,ANTON BLANCO  JOSE LUIS
Audiencia Provincial Presidencia ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 16 31 ,964 62 19 04 ,csap01_cas@gva.es ,MARCO COS  JOSE MANUEL
Juzgado de Primera Instancia nº 1 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 15 11  964 62 15 12 ,964 62 19 10 ,cspi01_cas@gva.es ,OREA MARTINEZ  JOSE ANTONIO
Juzgado de Primera Instancia nº 2 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 15 18  964 62 15 19 ,964 62 19 11 ,cspi02_cas@gva.es ,BASSO DE ALBURQUERQUE  SILVIA
Juzgado de Primera Instancia nº 3 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 15 25  964 62 15 26 ,964 62 19 12 ,cspi03_cas@gva.es ,MARTI VILACHE  ELISA
Juzgado de Primera Instancia nº 4 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 15 32  964 62 15 33 ,964 62 19 13 ,cspi04_cas@gva.es ,CASTILLO MARTINEZ  CAROLINA DEL CARMEN
Juzgado de Primera Instancia nº 5 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 15 39  964 62 15 40 ,964 62 19 14 ,cspi05_cas@gva.es ,BALADO MARGELI  MARIA DOLORES
Juzgado de Primera Instancia nº 6 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 15 46  964 62 15 47 ,964 62 19 15 ,cspi06_cas@gva.es ,REAL RAMOS  MARIA DE LAS MERCEDES
Juzgado de Primera Instancia nº 7 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 15 53  964 62 15 54 ,964 62 19 16 ,cspi07_cas@gva.es ,VIDAL NOTARI  IRENE MARIA
Juzgado de Primera Instancia nº 8 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 17 47  964 62 17 48 ,964 62 19 45 ,cspi08_cas@gva.es ,MORENO MARTIN  DIANA
Juzgado de Primera Instancia nº 9 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 18 71  964 62 18 72 ,964 62 19 10 ,cspi09_cas@gva.es ,SARRION MARTI  BEATRIZ MARIA
Juzgado de Primera Instancia nº 10 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 17 70 ,964 62 19 46 ,cspi10_cas@gva.es ,DIAZ GARCIA  SOFIA
Juzgado de Instrucción nº 1 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 16 43  964 62 16 44 ,964 62 19 19 ,csin01_cas@gva.es ,MARI FARINOS  ENRIQUE
Juzgado de Instrucción nº 2 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 16 50  964 62 16 51 ,964 62 19 20 ,csin02_cas@gva.es ,GARCIA ALOS  MARIA VICTORIA
Juzgado de Instrucción nº 3 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 16 57  964 62 16 58 ,964 62 19 21 ,csin03_cas@gva.es ,GONELL MARIN  INMACULADA
Juzgado de Instrucción nº 4 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 16 64  964 62 16 65 ,964 62 19 22 ,csin04_cas@gva.es ,PANADERO CALZADA  MIRYAM LUDMILA
Juzgado de Instrucción nº 5 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 16 71  964 62 16 72 ,964 62 19 23 ,csin05_cas@gva.es ,CALERO MARZA  MARIA LIDON
Juzgado de Instrucción nº 6 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 17 41 ,964 62 19 45 ,csin06_cas@gva.es ,PLAZA LOPEZ  MARIA PAZ
Juzgado de lo Social nº 1 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 14 23  964 62 14 24 ,964 62 19 28 ,csso01_cas@gva.es ,COSCARON GARCIA  MARTA
Juzgado de lo Social nº 2 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 14 29  964 62 14 30 ,964 62 19 29 ,csso02_cas@gva.es ,BELINCHON BARRERA  MARIA ISABEL
Juzgado de lo Social nº 3 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 14 35  964 62 14 36 ,964 62 19 30 ,csso03_cas@gva.es ,EDO PRADES  JAVIER
Juzgado de lo Social nº 4 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 14 13  964 62 14 14 ,964 62 19 42 ,csso04_cas@gva.es ,DIAZ PUERTAS  MARIA LUISA
Juzgado de lo Social nº 5 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 17 91 ,964 62 17 98 ,csso05_cas@gva.es ,CARRATALA TERUEL  JOSE LUIS
Juzgado de lo Contencioso-Administrativo nº 1 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 14 55  964 62 14 56 ,964 62 19 08 ,csco01_cas@gva.es ,YUSTE ESPINOSA  DAVID
Juzgado de lo Contencioso-Administrativo nº 2 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 14 61  964 62 14 62 ,964 62 19 09 ,csco02_cas@gva.es ,SORIA PIQUER  CAROLA SOFIA
Juzgado de lo Mercantil nº 1 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 14 47  964 62 14 48 ,964 62 19 24 ,casmerca01_cas@gva.es ,GIL MONZO  FRANCISCO MODESTO
Juzgado de Violencia sobre la Mujer nº 1 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 17 03 ,964 62 19 02 ,csvim01_cas@gva.es ,BARONA MARTINEZ  NURIA
Juzgado de lo Penal nº 1 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 14 84  964 62 14 85 ,964 62 19 25 ,cspe01_cas@gva.es ,SASTRE FERNANDEZ-CHICO  MARIA DEL PRADO
Juzgado de lo Penal nº 2 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 14 90  964 62 14 91 ,964 62 19 26 ,cspe02_cas@gva.es ,NIETO LOPEZ-ARIAS  MARIA DE LAS MERCEDES
Juzgado de lo Penal nº 3 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 14 96  964 62 14 97 ,964 62 19 27 ,cspe03_cas@gva.es ,SANCHEZ PINA  GEMA AMPARO
Juzgado de lo Penal nº 4 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 17 14 ,964 62 19 41 ,cspe04_cas@gva.es ,FERRER BARQUERO  RAMON
Juzgado de Vigilancia Penitenciaria nº 4 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 14 41  964 62 14 42 ,964 62 19 32 ,csvip04_cas@gva.es ,CERVERA SALVADOR  SABINA
Juzgado de Menores nº 1 ,Bulevar Blasco Ibáñez  10 ,12003 ,Castelló de la Plana ,Castellón/Castelló ,Comunidad Valenciana ,964 62 15 93  964 62 15 94 ,964 62 19 31 ,csme01_cas@gva.es ,HERRERO HAYA  NATALIA
Juzgado de Primera Instancia e Instrucción nº 1 ,Avda. Francisco Santa Cruz  15 ,12520 ,Nules ,Castellón/Castelló ,Comunidad Valenciana ,964 72 55 71 ,964 72 55 70 ,numi01_cas@gva.es ,REVERT SAEZ  ANGELA
Juzgado de Primera Instancia e Instrucción nº 2 ,Avda. Francisco Santa Cruz  15 ,12520 ,Nules ,Castellón/Castelló ,Comunidad Valenciana ,964 72 55 75 ,964 72 55 74 ,numi02_cas@gva.es ,MAGRANER MAYA  ANA
Juzgado de Primera Instancia e Instrucción nº 3 ,Avda. Francisco Santa Cruz  15 ,12520 ,Nules ,Castellón/Castelló ,Comunidad Valenciana ,964 72 55 79 ,964 72 55 78 ,numi03_cas@gva.es ,FELTRER GARCIA  MARI CARMEN
Juzgado de Primera Instancia e Instrucción nº 4 ,Avda. Francisco Santa Cruz  15 ,12520 ,Nules ,Castellón/Castelló ,Comunidad Valenciana ,964 72 55 83 ,964 72 55 82 ,numi04_cas@gva.es ,HERRERO MARTINEZ  PATRICIA
Juzgado de Primera Instancia e Instrucción nº 5 ,Avda. Francisco Santa Cruz  15 ,12520 ,Nules ,Castellón/Castelló ,Comunidad Valenciana ,964 71 58 03 ,964 71 58 11 ,numi05_cas@gva.es ,VIDAL FAYOS  ESTELA
Juzgado de Primera Instancia e Instrucción nº 6 ,Avda. Francisco Santa Cruz  15 ,12520 ,Nules ,Castellón/Castelló ,Comunidad Valenciana ,964 71 58 80 ,964 46 36 26 ,numi06_cas@gva.es ,NAVARRO LOPEZ  ALBA LAURA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Fray Bonifacio Ferrer  1 ,12400 ,Segorbe ,Castellón/Castelló ,Comunidad Valenciana ,964 33 66 75  964 33 66 71 ,964 33 66 86 ,semi01_cas@gva.es ,LLUCH SORIANO  LAURA
Juzgado de Primera Instancia e Instrucción nº 1 ,Matilde Salvador  s/n ,12540 ,Vila-real ,Castellón/Castelló ,Comunidad Valenciana ,964 73 82 78 ,964 73 82 81 ,vrmi01_cas@gva.es ,SIMO BERNAT  JUAN MANUEL
Juzgado de Primera Instancia e Instrucción nº 2 ,Matilde Salvador  s/n ,12540 ,Vila-real ,Castellón/Castelló ,Comunidad Valenciana ,964 73 82 82 ,964 73 82 85 ,vrmi02_cas@gva.es ,GOZALBO SERER  MARIA EUGENIA
Juzgado de Primera Instancia e Instrucción nº 3 ,Matilde Salvador  s/n ,12540 ,Vila-real ,Castellón/Castelló ,Comunidad Valenciana ,964 73 82 86 ,964 73 82 89 ,vrmi03_cas@gva.es ,USO VICENT  ROSA MARIA
Juzgado de Primera Instancia e Instrucción nº 4 ,Matilde Salvador  s/n ,12540 ,Vila-real ,Castellón/Castelló ,Comunidad Valenciana ,964 73 82 90 ,964 73 82 93 ,vrmi04_cas@gva.es ,LLAMBES SANCHEZ  MARIA ISABEL
Juzgado de Primera Instancia e Instrucción nº 5 ,Matilde Salvador  s/n ,12540 ,Vila-real ,Castellón/Castelló ,Comunidad Valenciana ,964 73 82 94 ,964 73 82 97 ,vrmi05_cas@gva.es ,GONZALEZ SANCHEZ  JULIAN ANGEL
Juzgado de Violencia sobre la Mujer nº 1 ,Matilde Salvador  s/n ,12540 ,Vila-real ,Castellón/Castelló ,Comunidad Valenciana ,964 73 82 74 ,964 73 82 77 ,vrvim01_cas@gva.es ,TODOLI ORERO  PATRICIA MARGARITA
Juzgado de Primera Instancia e Instrucción nº 1 ,Avda. de la Libertad  s/n ,12500 ,Vinaròs ,Castellón/Castelló ,Comunidad Valenciana ,964 46 86 25  964 46 86 26 ,964 45 44 52 ,vimi01_cas@gva.es ,SALA SISCAR  MARIA DEL CARMEN
Juzgado de Primera Instancia e Instrucción nº 2 ,Avda. de la Libertad  s/n ,12500 ,Vinaròs ,Castellón/Castelló ,Comunidad Valenciana ,964 46 86 34  964 46 86 35 ,964 45 31 98 ,vimi02_cas@gva.es ,GRANELL RUL  GLORIA
Juzgado de Primera Instancia e Instrucción nº 3 ,Avda. de la Libertad  s/n ,12500 ,Vinaròs ,Castellón/Castelló ,Comunidad Valenciana ,964 46 86 43  964 46 86 44 ,964 45 33 93 ,vimi03_cas@gva.es ,ALZAGA GARCIA-LONGORIA  CECILIA
Juzgado de Primera Instancia e Instrucción nº 4 ,Avda. de la Libertad  s/n ,12500 ,Vinaròs ,Castellón/Castelló ,Comunidad Valenciana ,964 46 86 52  964 46 86 53 ,964 45 31 77 ,vimi04_cas@gva.es ,PORCAR GRANGEL  MARIA
Juzgado de Primera Instancia e Instrucción nº 5 ,Pza. Riocuarto  12 ,12500 ,Vinaròs ,Castellón/Castelló ,Comunidad Valenciana ,964 46 38 45  964 43 86 49 ,964 45 46 45 ,vimi05_cas@gva.es ,GALLEGO GARCIA  ISABEL MARIA
Juzgado de lo Penal nº 1 ,Avda. de la Libertad  s/n ,12500 ,Vinaròs ,Castellón/Castelló ,Comunidad Valenciana ,964 46 86 60  964 46 86 65 ,964 45 13 91 ,vipe01_cas@gva.es ,LASIERRA GOMEZ  IGNACIO
Audiencia Provincial Civil-penal nº 6 ,C/ Padilla  s/n. Edif. Ceuta Center ,51001 ,Ceuta ,Ceuta ,Ceuta ,956 51 48 73  956 52 46 91 ,956 51 49 70 ,audiencia.s6.ceuta@justicia.es ,CASTRO MARTIN  ROSA MARIA DE
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Manuel Leria y Ortiz de Saracho  s/n ,51001 ,Ceuta ,Ceuta ,Ceuta ,956 51 34 17 ,856 90 77 47 ,mixto1.ceuta@justicia.es ,SALINAS VELA  RUBEN
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Manuel Leria y Ortiz de Saracho  s/n ,51001 ,Ceuta ,Ceuta ,Ceuta ,956 51 83 84  956 51 45 36 ,956 51 61 53 ,mixto2.ceuta@justicia.es ,RODRIGUEZ CARO  MARIA VICTORIA
Juzgado de Primera Instancia e Instrucción nº 3 ,C/ Manuel Leria y Ortiz de Saracho  s/n ,51001 ,Ceuta ,Ceuta ,Ceuta ,956 51 34 16  956 51 00 36 ,956 51 00 81 ,mixto3.ceuta@justicia.es ,FERNANDEZ LUPIAÑEZ  MIGUEL ANGEL
Juzgado de Primera Instancia e Instrucción nº 4 ,C/ Manuel Leria y Ortiz de Saracho  s/n ,51001 ,Ceuta ,Ceuta ,Ceuta ,956 51 01 61  956 51 59 89 ,956 51 09 46 ,mixto4.ceuta@justicia.es ,LOPEZ RODRIGUEZ  SARA BEATRIZ
Juzgado de Primera Instancia e Instrucción nº 5 ,C/ Manuel Leria y Ortiz de Saracho  s/n ,51001 ,Ceuta ,Ceuta ,Ceuta ,856 20 04 30  856 20 04 31 ,956 52 50 11 ,mixto5.ceuta@justicia.es ,PASTOR RANCHAL  ANTONIO JOSE
Juzgado de Primera Instancia e Instrucción nº 6 ,C/ Manuel Leria y Ortiz de Saracho  s/n ,51001 ,Ceuta ,Ceuta ,Ceuta ,956 52 50 10 ,956 52 50 11 ,mixto6.ceuta@justicia.es ,LOZANO GAGO  MARIA DE LA LUZ
Juzgado de lo Social Único ,C/ Fernández  2 ,51001 ,Ceuta ,Ceuta ,Ceuta ,956 51 17 12  956 52 50 90 ,956 51 00 93 ,social1.ceuta@justicia.es ,LORITE MARTINEZ  MARIA FRANCISCA
Juzgado de lo Contencioso-Administrativo nº 1 ,C/ Fernández  2 ,51001 ,Ceuta ,Ceuta ,Ceuta ,956 51 20 19 ,956 51 37 96 ,contencioso1.ceuta@justicia.es ,PRIETA GOBANTES  IGNACIO DE LA
Juzgado de lo Contencioso-Administrativo nº 2 ,C/ Fernández  2 ,51001 ,Ceuta ,Ceuta ,Ceuta ,956 52 51 53 ,956 51 37 96 ,contencioso2.ceuta@justicia.es ,SEVERO CASTRO  ANTONIO FERNANDO
Juzgado de lo Penal nº 1 ,C/ Padilla  s/n ,51001 ,Ceuta ,Ceuta ,Ceuta ,956 51 43 46 ,956 51 06 08 ,penal1.ceuta@justicia.es ,SERVAN MORENO  MARIA DEL CARMEN
Juzgado de lo Penal nº 2 ,C/ Padilla  s/n ,51001 ,Ceuta ,Ceuta ,Ceuta ,956 51 51 55 ,956 51 06 08 ,penal2.ceuta@justicia.es ,CANO ROMERO  MIGUEL ANGEL
Juzgado de Vigilancia Penitenciaria nº 1 ,C/ Agustina de Aragón  4 ,51001 ,Ceuta ,Ceuta ,Ceuta ,956 51 02 30  856 20 08 92 ,956 51 14 19 ,vigilancia1.ceuta@justicia.es ,MARTIN RODRIGUEZ  SALVADOR FERNANDO
Juzgado de Menores nº 1 ,C/ Manuel Leria y Ortiz de Saracho  s/n ,51001 ,Ceuta ,Ceuta ,Ceuta ,956 51 36 34  956 51 01 21 ,956 51 76 89 ,menores1.ceuta@justicia.es ,LEON CHAPARRO  LIDIA MARIA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Mediodia  8 ,13600 ,Alcázar de San Juan ,Ciudad Real ,Castilla la Mancha ,926 54 06 46  926 54 08 38 ,926 54 68 40 ,mixto1.alcazardesanjuan@justicia.es ,ESTEBAN PELLICER  MARIA PILAR
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Mediodia  8 ,13600 ,Alcázar de San Juan ,Ciudad Real ,Castilla la Mancha ,926 54 09 26  926 54 10 39 ,926 55 04 37 ,mixto2.alcazardesanjuan@justicia.es ,GARCIA LOPEZ  JAVIER
Juzgado de Primera Instancia e Instrucción nº 3 ,C/ Mediodia  8 ,13600 ,Alcázar de San Juan ,Ciudad Real ,Castilla la Mancha ,926 54 08 69 ,926 54 09 05 ,mixto3.alcazardesanjuan@justicia.es ,LEYVA ALONSO  BEATRIZ
Juzgado de Primera Instancia e Instrucción Único ,C/ Mayor de San Juan  5 ,13400 ,Almadén ,Ciudad Real ,Castilla la Mancha ,926 71 00 73  926 71 26 56 ,926 71 31 02 ,mixto1.almaden@justicia.es ,GARCIA LOPEZ  MIRIAN
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Chile  4 ,13270 ,Almagro ,Ciudad Real ,Castilla la Mancha ,926 86 00 47  926 88 28 04 ,926 88 20 09 ,mixto1.almagro@justicia.es ,MONTEAGUDO MENA  LUCIA
Audiencia Provincial Civil-penal nº 1 ,C/ Caballeros  11 ,13003 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 29 55 00  926 29 55 08 ,926 25 32 60 ,audiencia.s1.ciudadreal@justicia.es ,ASTRAY CHACON  MARIA PILAR
Audiencia Provincial Civil-penal nº 2 ,C/ Caballeros  11 ,13003 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 29 55 25  926 29 55 55 ,926 29 55 22 ,audiencia.s2.ciudadreal@justicia.es ,BUZON CERVANTES  MARIA ALMUDENA
Audiencia Provincial Presidencia ,C/ Caballeros  11 ,13003 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 29 55 80 ,926 25 32 60 ,audiencia.s1.ciudadreal@justicia.es ,ALARCON BARCOS  MARIA JESUS
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 88 29 ,926 27 88 88 ,mixto1.ciudadreal@justicia.es ,CALCERRADA RINCON  AGUSTIN
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 88 83 ,926 27 88 82 ,mixto2.ciudadreal@justicia.es ,MEJIA RIVERA  ANTONIO CIRILO
Juzgado de Primera Instancia e Instrucción nº 3 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 88 76 ,926 27 88 78 ,mixto3.ciudadreal@justicia.es ,PEDROSA DEL PINO  JERONIMO
Juzgado de Primera Instancia e Instrucción nº 4 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 88 71  926 26 27 60 ,926 27 89 42 ,mixto4.ciudadreal@justicia.es , 
Juzgado de Primera Instancia e Instrucción nº 5 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 88 66 ,926 27 88 65 ,mixto5.ciudadreal@justicia.es , 
Juzgado de Primera Instancia e Instrucción nº 6 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 88 60 ,926 27 88 59 ,mixto6.ciudadreal@justicia.es ,EGEA HERNANDO  VIRGINIA LAURA
Juzgado de Primera Instancia e Instrucción nº 7 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 90 39 ,926 27 88 64 ,mixto7.ciudadreal@justicia.es ,GARRIDO FELIPE  BEATRIZ
Juzgado de lo Social nº 1 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 89 29 ,926 27 89 68 ,social1.ciudadreal@justicia.es , 
Juzgado de lo Social nº 2 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 89 38 ,926 27 89 36 ,social2.ciudadreal@justicia.es ,PEDRAZA CABIEDAS  MARIA DEL CARMEN
Juzgado de lo Social nº 3 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 89 32 ,926 27 89 30 ,social3.ciudadreal@justicia.es ,RUBIO PRIETO  ANA ISABEL
Juzgado de lo Contencioso-Administrativo nº 1 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 89 19 ,926 27 89 18 ,contencioso1.ciudadreal@justicia.es ,ZULOAGA JIMENEZ  LUIS ALFONSO
Juzgado de lo Contencioso-Administrativo nº 2 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 88 85 ,926 27 89 27 ,contencioso2.ciudadreal@justicia.es , 
Juzgado de lo Mercantil nº 1 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 89 23  926 05 47 25 ,926 05 47 32 ,mixto4.ciudadreal@justicia.es ,ORDOÑEZ FERNANDEZ  CARMELO
Juzgado de lo Penal nº 1 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 89 02 ,926 27 89 00 ,penal1.ciudadreal@justicia.es ,LOPEZ-MANZANARES SOMOZA  ANTONIA
Juzgado de lo Penal nº 2 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 89 16 ,926 27 89 12 ,penal2.ciudadreal@justicia.es ,MALENO DUEÑAS  MARIA ISABEL
Juzgado de lo Penal nº 3 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 89 07 ,926 27 89 06 ,penal3.ciudadreal@justicia.es ,GARCIA BENITEZ  MARIA DOLORES
Juzgado de Vigilancia Penitenciaria nº 1 ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 88 95 ,926 27 88 94 ,vigilancia1.ciudadreal@justicia.es ,MORENO DE LA SANTA-LIMIA  ANTONIO
Juzgado de Menores Único ,C/ Eras del Cerrillo  3 ,13004 ,Ciudad Real ,Ciudad Real ,Castilla la Mancha ,926 27 88 44 ,926 27 88 43 ,menores1.ciudadreal@justicia.es ,ANGOSTO AGUDO  ROSA MARIA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Santa Teresa  4 ,13250 ,Daimiel ,Ciudad Real ,Castilla la Mancha ,926 85 01 31  926 85 00 16 ,926 85 44 80 ,mixto1.daimiel@justicia.es ,RUIZ BERBIS  MARIA DE LA LUZ
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Santa Teresa  4 ,13250 ,Daimiel ,Ciudad Real ,Castilla la Mancha ,926 26 01 66  926 26 01 67 ,926 85 22 60 ,mixto2.daimiel@justicia.es ,LLABRES MARTORELL  MARIA GERONIMA
Juzgado de Primera Instancia e Instrucción nº 1 ,Pza. del Gran Teatro  s/n ,13200 ,Manzanares ,Ciudad Real ,Castilla la Mancha ,926 61 02 11  926 61 25 40 ,926 61 03 59 ,mixto1.manzanares@justicia.es ,HERNANDEZ LAFUENTE  MARTA
Juzgado de Primera Instancia e Instrucción nº 2 ,Pza. del Gran Teatro  s/n ,13200 ,Manzanares ,Ciudad Real ,Castilla la Mancha ,926 61 03 53  926 61 22 95 ,926 61 48 13 ,mixto2.manzanares@justicia.es ,NICOLAS QUINTELA  ALBA MARIA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Cruces  8 ,13500 ,Puertollano ,Ciudad Real ,Castilla la Mancha ,926 44 18 52 ,926 41 23 32 ,mixto1.puertollano@justicia.es ,MARTINEZ-ABARCA IBABE  JAVIER
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Cruces  8 ,13500 ,Puertollano ,Ciudad Real ,Castilla la Mancha ,926 44 18 59 ,926 43 12 01 ,mixto2.puertollano@justicia.es ,LARA ASTIASO  JOSE
Juzgado de Primera Instancia e Instrucción nº 3 ,C/ Cruces  8 ,13500 ,Puertollano ,Ciudad Real ,Castilla la Mancha ,926 44 18 65 ,926 41 01 67 ,mixto3.puertollano@justicia.es ,RUBIO SANCHEZ  MARIA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Francisco Carretero  17 ,13700 ,Tomelloso ,Ciudad Real ,Castilla la Mancha ,926 50 61 53  926 51 07 23 ,926 50 61 45 ,mixto1.tomelloso@justicia.es ,CONTRERAS ABAD  CARMEN
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Francisco Carretero  17 ,13700 ,Tomelloso ,Ciudad Real ,Castilla la Mancha ,926 50 61 52  926 51 07 23 ,926 51 07 23 ,mixto2.tomelloso@justicia.es ,RODRIGUEZ DE LOS REYES  PATRICIA
